"X1","X2","X3","X4"
"SWKS","http://www.google.com/finance?q=SWKS","Skyworks Solutions Inc.","0.097129"
"ISRG","http://www.google.com/finance?q=ISRG","Intuitive Surgical Inc.","0.096859"
"ED","http://www.google.com/finance?q=ED","Consolidated Edison Inc.","0.095811"
"GGP","http://www.google.com/finance?q=GGP","General Growth Properties Inc.","0.095686"
"PH","http://www.google.com/finance?q=PH","Parker-Hannifin Corporation","0.095336"
"WFM","http://www.google.com/finance?q=WFM","Whole Foods Market Inc.","0.094312"
"HIG","http://www.google.com/finance?q=HIG","Hartford Financial Services Group Inc.","0.093341"
"IVZ","http://www.google.com/finance?q=IVZ","Invesco Ltd.","0.093317"
"APH","http://www.google.com/finance?q=APH","Amphenol Corporation Class A","0.092962"
"XEL","http://www.google.com/finance?q=XEL","Xcel Energy Inc.","0.091983"
"ROP","http://www.google.com/finance?q=ROP","Roper Industries Inc.","0.091697"
"SYMC","http://www.google.com/finance?q=SYMC","Symantec Corporation","0.091506"
"WY","http://www.google.com/finance?q=WY","Weyerhaeuser Company","0.090440"
"MAR","http://www.google.com/finance?q=MAR","Marriott International Inc. Class A","0.090379"
"TYC","http://www.google.com/finance?q=TYC","Tyco International PLC","0.088962"
"AA","http://www.google.com/finance?q=AA","Alcoa Inc.","0.087973"
"SIAL","http://www.google.com/finance?q=SIAL","Sigma-Aldrich Corporation","0.087969"
"DLTR","http://www.google.com/finance?q=DLTR","Dollar Tree Inc.","0.087906"
"FITB","http://www.google.com/finance?q=FITB","Fifth Third Bancorp","0.086639"
"ENDP","http://www.google.com/finance?q=ENDP","Endo International Plc","0.086071"
"NTRS","http://www.google.com/finance?q=NTRS","Northern Trust Corporation","0.086001"
"PAYX","http://www.google.com/finance?q=PAYX","Paychex Inc.","0.085862"
"K","http://www.google.com/finance?q=K","Kellogg Company","0.085657"
"CAG","http://www.google.com/finance?q=CAG","ConAgra Foods Inc.","0.084810"
"ES","http://www.google.com/finance?q=ES","Eversource Energy","0.084384"
"MTB","http://www.google.com/finance?q=MTB","M&T Bank Corporation","0.083624"
"SWK","http://www.google.com/finance?q=SWK","Stanley Black & Decker Inc.","0.083517"
"ROK","http://www.google.com/finance?q=ROK","Rockwell Automation Inc.","0.083376"
"LVLT","http://www.google.com/finance?q=LVLT","Level 3 Communications Inc.","0.083054"
"HST","http://www.google.com/finance?q=HST","Host Hotels & Resorts Inc.","0.082765"
"WHR","http://www.google.com/finance?q=WHR","Whirlpool Corporation","0.082236"
"NUE","http://www.google.com/finance?q=NUE","Nucor Corporation","0.081741"
"FE","http://www.google.com/finance?q=FE","FirstEnergy Corp.","0.081568"
"GWW","http://www.google.com/finance?q=GWW","W.W. Grainger Inc.","0.080881"
"DPS","http://www.google.com/finance?q=DPS","Dr Pepper Snapple Group Inc.","0.080495"
"ESS","http://www.google.com/finance?q=ESS","Essex Property Trust Inc.","0.079436"
"KMX","http://www.google.com/finance?q=KMX","CarMax Inc.","0.079430"
"NLSN","http://www.google.com/finance?q=NLSN","Nielsen N.V.","0.079041"
"HSP","http://www.google.com/finance?q=HSP","Hospira Inc.","0.078861"
"LNC","http://www.google.com/finance?q=LNC","Lincoln National Corporation","0.078841"
"KSS","http://www.google.com/finance?q=KSS","Kohl's Corporation","0.078727"
"SNDK","http://www.google.com/finance?q=SNDK","SanDisk Corporation","0.077210"
"RHT","http://www.google.com/finance?q=RHT","Red Hat Inc.","0.077002"
"BF.B","http://www.google.com/finance?q=BF.B","Brown-Forman Corporation Class B","0.076867"
"DVA","http://www.google.com/finance?q=DVA","DaVita HealthCare Partners Inc.","0.076748"
"DTE","http://www.google.com/finance?q=DTE","DTE Energy Company","0.076341"
"PGR","http://www.google.com/finance?q=PGR","Progressive Corporation","0.076226"
"CLX","http://www.google.com/finance?q=CLX","Clorox Company","0.076042"
"MOS","http://www.google.com/finance?q=MOS","Mosaic Company","0.075804"
"EW","http://www.google.com/finance?q=EW","Edwards Lifesciences Corporation","0.075583"
"A","http://www.google.com/finance?q=A","Agilent Technologies Inc.","0.075479"
"NI","http://www.google.com/finance?q=NI","NiSource Inc.","0.075176"
"GMCR","http://www.google.com/finance?q=GMCR","Keurig Green Mountain Inc.","0.075104"
"GPC","http://www.google.com/finance?q=GPC","Genuine Parts Company","0.074707"
